Short windows at samples        1 -     2048, window index 7
Short windows at samples    13313 -    15360, window index 3
Short windows at samples    17409 -    19456, window index 3
Short windows at samples    20481 -    22528, window index 2
Short windows at samples    24577 -    26624, window index 3
Short windows at samples    36865 -    38912, window index 6
Short windows at samples    40961 -    43008, window index 2
Short windows at samples    45057 -    47104, window index 1
Short windows at samples    49153 -    51200, window index 1
Short windows at samples    60417 -    62464, window index 9
Short windows at samples    61441 -    63488, window index 0
Short windows at samples    64513 -    66560, window index 5
Short windows at samples    68609 -    70656, window index 1
Short windows at samples    72705 -    74752, window index 3
Short windows at samples    83969 -    86016, window index 6
Short windows at samples    96257 -    98304, window index 7
Short windows at samples   109569 -   111616, window index 5
Short windows at samples   112641 -   114688, window index 6
Short windows at samples   116737 -   118784, window index 4
Short windows at samples   120833 -   122880, window index 2
Short windows at samples   133121 -   135168, window index 4
Short windows at samples   137217 -   139264, window index 2
Short windows at samples   141313 -   143360, window index 1
Short windows at samples   144385 -   146432, window index 8
Short windows at samples   156673 -   158720, window index 1
Short windows at samples   159745 -   161792, window index 8
Short windows at samples   163841 -   165888, window index 6
Short windows at samples   167937 -   169984, window index 4
Short windows at samples   180225 -   182272, window index 6
Short windows at samples   192513 -   194560, window index 7
Short windows at samples   204801 -   206848, window index 6
Short windows at samples   208897 -   210944, window index 5
Short windows at samples   211969 -   214016, window index 7
Short windows at samples   216065 -   218112, window index 5
Short windows at samples   228353 -   230400, window index 2
Short windows at samples   232449 -   234496, window index 2
Short windows at samples   236545 -   238592, window index 1
Short windows at samples   239617 -   241664, window index 4
Short windows at samples   250881 -   252928, window index 7
Short windows at samples   254977 -   257024, window index 4
Short windows at samples   259073 -   261120, window index 5
Short windows at samples   262145 -   264192, window index 9
Short windows at samples   275457 -   277504, window index 1
Short windows at samples   287745 -   289792, window index 2
Short windows at samples   372737 -   374784, window index 7
Short windows at samples   386049 -   388096, window index 3
Short windows at samples   390145 -   392192, window index 4
Short windows at samples   393217 -   395264, window index 2
Short windows at samples   397313 -   399360, window index 3
Short windows at samples   409601 -   411648, window index 6
Short windows at samples   413697 -   415744, window index 3
Short windows at samples   417793 -   419840, window index 2
Short windows at samples   421889 -   423936, window index 1
Short windows at samples   434177 -   436224, window index 1
Short windows at samples   437249 -   439296, window index 5
Short windows at samples   441345 -   443392, window index 2
Short windows at samples   445441 -   447488, window index 3
Short windows at samples   456705 -   458752, window index 6
Short windows at samples   468993 -   471040, window index 7
Short windows at samples   482305 -   484352, window index 6
Short windows at samples   485377 -   487424, window index 6
Short windows at samples   489473 -   491520, window index 5
Short windows at samples   493569 -   495616, window index 3
Short windows at samples   505857 -   507904, window index 5
Short windows at samples   509953 -   512000, window index 2
Short windows at samples   514049 -   516096, window index 2
Short windows at samples   517121 -   519168, window index 8
Short windows at samples   529409 -   531456, window index 1
Short windows at samples   532481 -   534528, window index 8
Short windows at samples   536577 -   538624, window index 7
Short windows at samples   540673 -   542720, window index 4
Short windows at samples   552961 -   555008, window index 7
Short windows at samples   565249 -   567296, window index 7
Short windows at samples   577537 -   579584, window index 7
Short windows at samples   581633 -   583680, window index 5
Short windows at samples   584705 -   586752, window index 8
Short windows at samples   588801 -   590848, window index 6
Short windows at samples   601089 -   603136, window index 3
Short windows at samples   605185 -   607232, window index 3
Short windows at samples   609281 -   611328, window index 2
Short windows at samples   612353 -   614400, window index 4
Short windows at samples   623617 -   625664, window index 8
Short windows at samples   627713 -   629760, window index 4
Short windows at samples   631809 -   633856, window index 6
Short windows at samples   635905 -   637952, window index 1
Short windows at samples   648193 -   650240, window index 1
Short windows at samples   660481 -   662528, window index 3
